,News,News tok,True label,Pred label
10,Top terms complaining of nausea lucky charms illness robinson township costco warehouse reports of consumersOriginal Source: google top stories,"[['Top', 'terms', 'complaining', 'nausea', 'lucky', 'charms', 'illness', 'robinson', 'township', 'costco', 'warehouse', 'reports', 'consumersOriginal', 'Source:', 'google', 'top', 'stories']]",1,0
11,ATHENS The mistakes were so minor. Carly Patterson #;s foot scraping the lower of the uneven bars. Courtney Kupets #; tumbling pass that ended here instead of there. Mohini Bhardwaj #;s slight stumble on the beam.,"[['ATHENS', 'The', 'mistakes', 'were', 'minor.'], ['Carly', 'Patterson', '#;s', 'foot', 'scraping', 'the', 'lower', 'the', 'uneven', 'bars.'], ['Courtney', 'Kupets', 'tumbling', 'pass', 'that', 'ended', 'here', 'instead', 'there.'], ['Mohini', 'Bhardwaj', '#;s', 'slight', 'stumble', 'the', 'beam.']]",0,1
12,Top terms vape people vaping nicotine cigarettesOriginal Source: malaymail,"[['Top', 'terms', 'vape', 'people', 'vaping', 'nicotine', 'cigarettesOriginal', 'Source:', 'malaymail']]",1,0
13,Top terms fat rich dairy products fat rich dairy uvas vice chancellor university of veterinary training course concludesOriginal Source: latestly,"[['Top', 'terms', 'fat', 'rich', 'dairy', 'products', 'fat', 'rich', 'dairy', 'uvas', 'vice', 'chancellor', 'university', 'veterinary', 'training', 'course', 'concludesOriginal', 'Source:', 'latestly']]",1,0
14,Top terms type outlook based seasoning & spices kerry group plc food spices market sizeOriginal Source: globenewswire,"[['Top', 'terms', 'type', 'outlook', 'based', 'seasoning', 'spices', 'kerry', 'group', 'plc', 'food', 'spices', 'market', 'sizeOriginal', 'Source:', 'globenewswire']]",1,0
15,Rawalpindi: The district administration in a crackdown against profiteers price hikers Saturday took action against shopkeepers and imposed a fine of Rs on violators. According to details the teams under the supervision of relevant assistant commissioners and food magistrates.......Original Source: thenews pk,"[['Rawalpindi:', 'The', 'district', 'administration', 'crackdown', 'against', 'profiteers', 'price', 'hikers', 'Saturday', 'took', 'action', 'against', 'shopkeepers', 'and', 'imposed', 'fine', 'violators.'], ['According', 'details', 'the', 'teams', 'under', 'the', 'supervision', 'relevant', 'assistant', 'commissioners', 'and', 'food', 'magistrates.......Original', 'Source:', 'thenews']]",1,0
16,All the licensed wine stores Island wide would be sealed until the travel restrictions are lifted on June the Excise Department said. Excise Spokesman Kapila Kumarasinghe said that the Commissioner General of Excise has instructed all the provincial and district excise commissioners to seal all the wine stores as a precautionary measure....Original Source: openpr,"[['All', 'the', 'licensed', 'wine', 'stores', 'Island', 'wide', 'would', 'sealed', 'until', 'the', 'travel', 'restrictions', 'are', 'lifted', 'June', 'the', 'Excise', 'Department', 'said.'], ['Excise', 'Spokesman', 'Kapila', 'Kumarasinghe', 'said', 'that', 'the', 'Commissioner', 'General', 'Excise', 'has', 'instructed', 'all', 'the', 'provincial', 'and', 'district', 'excise', 'commissioners', 'seal', 'all', 'the', 'wine', 'stores', 'precautionary', 'measure....Original', 'Source:', 'openpr']]",1,0
17,"top terms last year to recover economic losses . million! huidong to improve the effectiveness of consumer protection work strengthen supervision and enforcement guard the ""four"" safety bottom line strengthen quality sampling increase product quality supervision and inspection strengthen supervision and enforcement promote peace of mind consumption smooth channels for the protection of rights and strive to improve the effectiveness of consumer protection workOriginal Source: pib gov in","[['top', 'terms', 'last', 'year', 'recover', 'economic', 'losses'], ['million!'], ['huidong', 'improve', 'the', 'effectiveness', 'consumer', 'protection', 'work', 'strengthen', 'supervision', 'and', 'enforcement', 'guard', 'the', '""four""', 'safety', 'bottom', 'line', 'strengthen', 'quality', 'sampling', 'increase', 'product', 'quality', 'supervision', 'and', 'inspection', 'strengthen', 'supervision', 'and', 'enforcement', 'promote', 'peace', 'mind', 'consumption', 'smooth', 'channels', 'for', 'the', 'protection', 'rights', 'and', 'strive', 'improve', 'the', 'effectiveness', 'consumer', 'protection', 'workOriginal', 'Source:', 'pib', 'gov']]",1,0
18,Around percent random food samples analysed during last three years across Jammu and Kashmir were found adulterated and substandard raising a question mark over the work of authorities responsible for food safety in the state. Out of the samples tested since as many as that.......Original Source: greaterkashmir,"[['Around', 'percent', 'random', 'food', 'samples', 'analysed', 'during', 'last', 'three', 'years', 'across', 'Jammu', 'and', 'Kashmir', 'were', 'found', 'adulterated', 'and', 'substandard', 'raising', 'question', 'mark', 'over', 'the', 'work', 'authorities', 'responsible', 'for', 'food', 'safety', 'the', 'state.'], ['Out', 'the', 'samples', 'tested', 'since', 'many', 'that.......Original', 'Source:', 'greaterkashmir']]",1,0
19,Top terms ready leek crumbles french lentil fda responds to customersOriginal Source: einnews,"[['Top', 'terms', 'ready', 'leek', 'crumbles', 'french', 'lentil', 'fda', 'responds', 'customersOriginal', 'Source:', 'einnews']]",1,0
20,The International Atomic Energy Agency IAEA has picked the Institute for Global Food Security IGFS to support food safety and authenticity research. The IAEA and IGFS of Queen’s University Belfast in the United Kingdom formalized their collaboration during a virtual ceremony at the IAEA Board of Governors meeting....Original Source: newtimes RW,"[['The', 'International', 'Atomic', 'Energy', 'Agency', 'IAEA', 'has', 'picked', 'the', 'Institute', 'for', 'Global', 'Food', 'Security', 'IGFS', 'support', 'food', 'safety', 'and', 'authenticity', 'research.'], ['The', 'IAEA', 'and', 'IGFS', 'Queen’s', 'University', 'Belfast', 'the', 'United', 'Kingdom', 'formalized', 'their', 'collaboration', 'during', 'virtual', 'ceremony', 'the', 'IAEA', 'Board', 'Governors', 'meeting....Original', 'Source:', 'newtimes']]",1,0
21,It is common that during the festive seasons prices of daily commodities from onion to beef cosmetics and accessories clothing items etc rise exceptionally taking these out of the reach of lower middle income groups of people. We observe this trend the most in the month of Ramadan....Original Source: thefinancialexpress,"[['common', 'that', 'during', 'the', 'festive', 'seasons', 'prices', 'daily', 'commodities', 'from', 'onion', 'beef', 'cosmetics', 'and', 'accessories', 'clothing', 'items', 'etc', 'rise', 'exceptionally', 'taking', 'these', 'out', 'the', 'reach', 'lower', 'middle', 'income', 'groups', 'people.'], ['observe', 'this', 'trend', 'the', 'most', 'the', 'month', 'Ramadan....Original', 'Source:', 'thefinancialexpress']]",1,0
22,Throughout history essential oils EOs have received great interest for their curative effects and since ancient times humans have been extracting them from aromatic plants. EOs have been employed for different purposes due to their potential in the pharmaceutical food cosmetic and perfume industries....Original Source: ekip,"[['Throughout', 'history', 'essential', 'oils', 'EOs', 'have', 'received', 'great', 'interest', 'for', 'their', 'curative', 'effects', 'and', 'since', 'ancient', 'times', 'humans', 'have', 'been', 'extracting', 'them', 'from', 'aromatic', 'plants.'], ['EOs', 'have', 'been', 'employed', 'for', 'different', 'purposes', 'due', 'their', 'potential', 'the', 'pharmaceutical', 'food', 'cosmetic', 'and', 'perfume', 'industries....Original', 'Source:', 'ekip']]",1,0
23,Top terms director rebecca lester unknown rural futures director inside australia's $ food fraud puzzleOriginal Source: brisbanetimes,"[['Top', 'terms', 'director', 'rebecca', 'lester', 'unknown', 'rural', 'futures', 'director', 'inside', ""australia's"", 'food', 'fraud', 'puzzleOriginal', 'Source:', 'brisbanetimes']]",1,0
24,KHANEWAL Punjab Food Authority PFA sealed two fake milk manufacturing factories located at different areas of tehsil Mian Channu on Wednesday morning. According to DG Food Authority Irfan Maimon the raid was conducted on tip off at Talamba factory where milk was being prepared with mixing of polluted form of powder and substandard ghee....Original Source: nation,"[['KHANEWAL', 'Punjab', 'Food', 'Authority', 'PFA', 'sealed', 'two', 'fake', 'milk', 'manufacturing', 'factories', 'located', 'different', 'areas', 'tehsil', 'Mian', 'Channu', 'Wednesday', 'morning.'], ['According', 'Food', 'Authority', 'Irfan', 'Maimon', 'the', 'raid', 'was', 'conducted', 'tip', 'off', 'Talamba', 'factory', 'where', 'milk', 'was', 'being', 'prepared', 'with', 'mixing', 'polluted', 'form', 'powder', 'and', 'substandard', 'ghee....Original', 'Source:', 'nation']]",1,0
25,"""The adulteration of food we speak together – not!"" the nadano press conference which jointly develop Jan Krzysztof Ardanowski minister for agriculture and rural development and Michał Kołodziejczak leader of AGROunii and chairman of this foundation known by the spring of high profile protests organized in warsaw.Original Source: sciencedirect cleaner production","[['""The', 'adulteration', 'food', 'speak', 'together', 'not!""'], ['the', 'nadano', 'press', 'conference', 'which', 'jointly', 'develop', 'Jan', 'Krzysztof', 'Ardanowski', 'minister', 'for', 'agriculture', 'and', 'rural', 'development', 'and', 'Michał', 'Kołodziejczak', 'leader', 'AGROunii', 'and', 'chairman', 'this', 'foundation', 'known', 'the', 'spring', 'high', 'profile', 'protests', 'organized', 'warsaw.Original', 'Source:', 'sciencedirect', 'cleaner', 'production']]",1,0
26,Top terms food adulteration fueling business standards authority safety business in indiaOriginal Source: kswfoodmicro,"[['Top', 'terms', 'food', 'adulteration', 'fueling', 'business', 'standards', 'authority', 'safety', 'business', 'indiaOriginal', 'Source:', 'kswfoodmicro']]",1,0
27,TOKYO China's Lenovo Group Ltd. signed a definitive agreement on Wednesday to acquire IBM Corp.'s personal computing division. Lenovo will pay US$. billion in cash for the business which is expected to transform it into the world's number three PC maker the companies announced.,"[['TOKYO', ""China's"", 'Lenovo', 'Group', 'Ltd.', 'signed', 'definitive', 'agreement', 'Wednesday', 'acquire', 'IBM', ""Corp.'s"", 'personal', 'computing', 'division.'], ['Lenovo', 'will', 'pay', 'US$.'], ['billion', 'cash', 'for', 'the', 'business', 'which', 'expected', 'transform', 'into', 'the', ""world's"", 'number', 'three', 'maker', 'the', 'companies', 'announced.']]",0,1
28,Chanting quot;We want the French! quot; a crowd of armed and angry young men swept past La Planta a club owned by an Ivorian. They started to attack the nearby Byblos,"[['Chanting', 'quot;We', 'want', 'the', 'French!'], ['quot;', 'crowd', 'armed', 'and', 'angry', 'young', 'men', 'swept', 'past', 'Planta', 'club', 'owned', 'Ivorian.'], ['They', 'started', 'attack', 'the', 'nearby', 'Byblos']]",0,1
29,The Khyber Pakhtunkhwa Food Safety and Halal Food Authority in its ongoing drive against adulteration across the province recovered liters expired and counterfeit juices and sealed two stores in Batkhela after cross examination of code with the registered company....Original Source: uniindia,"[['The', 'Khyber', 'Pakhtunkhwa', 'Food', 'Safety', 'and', 'Halal', 'Food', 'Authority', 'its', 'ongoing', 'drive', 'against', 'adulteration', 'across', 'the', 'province', 'recovered', 'liters', 'expired', 'and', 'counterfeit', 'juices', 'and', 'sealed', 'two', 'stores', 'Batkhela', 'after', 'cross', 'examination', 'code', 'with', 'the', 'registered', 'company....Original', 'Source:', 'uniindia']]",1,0
30,What started as another Boise State blowout came down to the final seconds. The No. Broncos jumped to a lead in the first quarter but needed a missed field goal with,"[['What', 'started', 'another', 'Boise', 'State', 'blowout', 'came', 'down', 'the', 'final', 'seconds.'], ['The', 'No.'], ['Broncos', 'jumped', 'lead', 'the', 'first', 'quarter', 'but', 'needed', 'missed', 'field', 'goal', 'with']]",0,1
31,Essential oils are high valued natural extracts that are involved in industries such as food cosmetics and pharmaceutics. The lemon essential oil LEO has high economic importance in the food and beverage industry because of its health beneficial characteristics and desired flavor properties....Original Source: northernirelandnews,"[['Essential', 'oils', 'are', 'high', 'valued', 'natural', 'extracts', 'that', 'are', 'involved', 'industries', 'such', 'food', 'cosmetics', 'and', 'pharmaceutics.'], ['The', 'lemon', 'essential', 'oil', 'LEO', 'has', 'high', 'economic', 'importance', 'the', 'food', 'and', 'beverage', 'industry', 'because', 'its', 'health', 'beneficial', 'characteristics', 'and', 'desired', 'flavor', 'properties....Original', 'Source:', 'northernirelandnews']]",1,0
32,At six o'clock local Guinean time the trawler departs from the dock in the direction of Dakar to disembark the frozen goods it has on board. This was confirmed yesterday by Óscar Estévez the shipowner explaining that throughout the morning they will devote themselves to the complex paperwork required to set sail....Original Source: boliviaentusmanos,"[['six', ""o'clock"", 'local', 'Guinean', 'time', 'the', 'trawler', 'departs', 'from', 'the', 'dock', 'the', 'direction', 'Dakar', 'disembark', 'the', 'frozen', 'goods', 'has', 'board.'], ['This', 'was', 'confirmed', 'yesterday', 'Óscar', 'Estévez', 'the', 'shipowner', 'explaining', 'that', 'throughout', 'the', 'morning', 'they', 'will', 'devote', 'themselves', 'the', 'complex', 'paperwork', 'required', 'set', 'sail....Original', 'Source:', 'boliviaentusmanos']]",1,0
33,Original Source: mondaq,"[['Original', 'Source:', 'mondaq']]",1,0
34,Top terms europol executive director catherine infiltrated the food products have infiltrated low quality productsOriginal Source: china.org chinese,"[['Top', 'terms', 'europol', 'executive', 'director', 'catherine', 'infiltrated', 'the', 'food', 'products', 'have', 'infiltrated', 'low', 'quality', 'productsOriginal', 'Source:', 'china.org', 'chinese']]",1,0
35,The Johannesburg Hawks’ serious commercial crime investigation team has arrested three people for allegedly defrauding more than Rm worth of foodstuffs from the World Food Programme WFP.The food had been donated by the US Agency for International Development USAID to the WFP for humanitarian relief.The supplies including tonnes of refined vegetable oil and yellow split peas were meant for a relief operation in Malawi.Capt Lloyd Ramovha from the Hawks said the SA Revenue Service Sars registered a criminal case of fraud in contravention of the Value Added Tax Act and the Customs and Excise Act in June .“The Hawks were entrusted with the investigation which has now shed light on the fact that the goods were initially stored in a bonded warehouse in Durban. The suspects’ company was tasked to transport the piles but this never took place ” he said.“It has since emerged the goods never left SA but were instead sold for self gain from within the country — to the detriment of the needy.”The three suspects are expected to appear in the Palm Ridge Specialised Commercial Crimes Court on June .,"[['The', 'Johannesburg', 'Hawks’', 'serious', 'commercial', 'crime', 'investigation', 'team', 'has', 'arrested', 'three', 'people', 'for', 'allegedly', 'defrauding', 'more', 'than', 'worth', 'foodstuffs', 'from', 'the', 'World', 'Food', 'Programme', 'WFP.The', 'food', 'had', 'been', 'donated', 'the', 'Agency', 'for', 'International', 'Development', 'USAID', 'the', 'WFP', 'for', 'humanitarian', 'relief.The', 'supplies', 'including', 'tonnes', 'refined', 'vegetable', 'oil', 'and', 'yellow', 'split', 'peas', 'were', 'meant', 'for', 'relief', 'operation', 'Malawi.Capt', 'Lloyd', 'Ramovha', 'from', 'the', 'Hawks', 'said', 'the', 'Revenue', 'Service', 'Sars', 'registered', 'criminal', 'case', 'fraud', 'contravention', 'the', 'Value', 'Added', 'Tax', 'Act', 'and', 'the', 'Customs', 'and', 'Excise', 'Act', 'June', '.“The', 'Hawks', 'were', 'entrusted', 'with', 'the', 'investigation', 'which', 'has', 'now', 'shed', 'light', 'the', 'fact', 'that', 'the', 'goods', 'were', 'initially', 'stored', 'bonded', 'warehouse', 'Durban.'], ['The', 'suspects’', 'company', 'was', 'tasked', 'transport', 'the', 'piles', 'but', 'this', 'never', 'took', 'place', 'said.“It', 'has', 'since', 'emerged', 'the', 'goods', 'never', 'left', 'but', 'were', 'instead', 'sold', 'for', 'self', 'gain', 'from', 'within', 'the', 'country', 'the', 'detriment', 'the', 'needy.”The', 'three', 'suspects', 'are', 'expected', 'appear', 'the', 'Palm', 'Ridge', 'Specialised', 'Commercial', 'Crimes', 'Court', 'June']]",1,0
36,Wired News introduces a new column by Regina Lynn Preciado. It's about sex. And technology. You'll dig it.,"[['Wired', 'News', 'introduces', 'new', 'column', 'Regina', 'Lynn', 'Preciado.'], [""It's"", 'about', 'sex.'], ['And', 'technology.'], [""You'll"", 'dig', 'it.']]",0,1
37,Top terms uniform banking code delhi high court forex transactions ashwini kumar upadhyay plea for uniformOriginal Source: tribune,"[['Top', 'terms', 'uniform', 'banking', 'code', 'delhi', 'high', 'court', 'forex', 'transactions', 'ashwini', 'kumar', 'upadhyay', 'plea', 'for', 'uniformOriginal', 'Source:', 'tribune']]",1,0
38,MADURAI: Restraining the sale of edible oils in loose on the ground that they are mostly adulterated and would have serious consequences on the consumers’ health the Madras high court on Friday observed that the state government should bring an amendment to book people who are involved in adulteration of food products under the Goondas Act....Original Source: thenews pk,"[['MADURAI:', 'Restraining', 'the', 'sale', 'edible', 'oils', 'loose', 'the', 'ground', 'that', 'they', 'are', 'mostly', 'adulterated', 'and', 'would', 'have', 'serious', 'consequences', 'the', 'consumers’', 'health', 'the', 'Madras', 'high', 'court', 'Friday', 'observed', 'that', 'the', 'state', 'government', 'should', 'bring', 'amendment', 'book', 'people', 'who', 'are', 'involved', 'adulteration', 'food', 'products', 'under', 'the', 'Goondas', 'Act....Original', 'Source:', 'thenews']]",1,0
39,The Federal Government says they are considering more tax cuts for lower and middle income Canadians. Fending off attacks over the . billion dollar budget surplus Finance Minister Ralph Goodale said he,"[['The', 'Federal', 'Government', 'says', 'they', 'are', 'considering', 'more', 'tax', 'cuts', 'for', 'lower', 'and', 'middle', 'income', 'Canadians.'], ['Fending', 'off', 'attacks', 'over', 'the'], ['billion', 'dollar', 'budget', 'surplus', 'Finance', 'Minister', 'Ralph', 'Goodale', 'said']]",0,1
40,Top terms fda investigating lucky eating lucky charms food vomiting investigating lucky charmsOriginal Source: dailycaller,"[['Top', 'terms', 'fda', 'investigating', 'lucky', 'eating', 'lucky', 'charms', 'food', 'vomiting', 'investigating', 'lucky', 'charmsOriginal', 'Source:', 'dailycaller']]",1,0
41,Two Qassam rockets landed in the western Negev on Saturday morning causing damage to a home. No casualties were reported. The rocket fire originated from the northern Gaza Strip.,"[['Two', 'Qassam', 'rockets', 'landed', 'the', 'western', 'Negev', 'Saturday', 'morning', 'causing', 'damage', 'home.'], ['casualties', 'were', 'reported.'], ['The', 'rocket', 'fire', 'originated', 'from', 'the', 'northern', 'Gaza', 'Strip.']]",0,1
42,Top terms antimicrobial agents guidance data alert anti spoiler intendedOriginal Source: thehindu,"[['Top', 'terms', 'antimicrobial', 'agents', 'guidance', 'data', 'alert', 'anti', 'spoiler', 'intendedOriginal', 'Source:', 'thehindu']]",1,0
43,. ABBOTTABAD: A senior official said on Thursday the KP Food Safety and Halal Food Authority was committed to providing citizens free hygienic foodstuff. “The basic purpose of the creation of the authority is to provide people with clean and hygienic food items ” said Dr Azmat Director General .......Original Source: thenews pk,"[[], ['ABBOTTABAD:', 'senior', 'official', 'said', 'Thursday', 'the', 'Food', 'Safety', 'and', 'Halal', 'Food', 'Authority', 'was', 'committed', 'providing', 'citizens', 'free', 'hygienic', 'foodstuff.'], ['“The', 'basic', 'purpose', 'the', 'creation', 'the', 'authority', 'provide', 'people', 'with', 'clean', 'and', 'hygienic', 'food', 'items', 'said', 'Azmat', 'Director', 'General', '.......Original', 'Source:', 'thenews']]",1,0
44,OCTOBER TECHWORLD.COM Linux distributor Suse has warned of one of the most serious security holes to date in version . of the Linux kernel which could allow attackers to shut down a system running . based software.,"[['OCTOBER', 'TECHWORLD.COM', 'Linux', 'distributor', 'Suse', 'has', 'warned', 'one', 'the', 'most', 'serious', 'security', 'holes', 'date', 'version'], ['the', 'Linux', 'kernel', 'which', 'could', 'allow', 'attackers', 'shut', 'down', 'system', 'running'], ['based', 'software.']]",0,1
45,Original Source: outlookindia,"[['Original', 'Source:', 'outlookindia']]",1,0
46,"The US Food and Drug Administration FDA has raised doubts about Strides Pharma Sciences Ltd's quality control practices after finding adulteration and evidence of ""uncontrolled shredding of documents"" at one of its plants. The FDA found ""significant violations"" of current good manufacturing.......Original Source: business standard","[['The', 'Food', 'and', 'Drug', 'Administration', 'FDA', 'has', 'raised', 'doubts', 'about', 'Strides', 'Pharma', 'Sciences', ""Ltd's"", 'quality', 'control', 'practices', 'after', 'finding', 'adulteration', 'and', 'evidence', '""uncontrolled', 'shredding', 'documents""', 'one', 'its', 'plants.'], ['The', 'FDA', 'found', '""significant', 'violations""', 'current', 'good', 'manufacturing.......Original', 'Source:', 'business', 'standard']]",1,0
47,top terms complaint volume has risen reporting volume nearly six years first drop original title: market supervision: last year to receive consumer complaints reported consulting more than million pieces online shopping new consumer demand increased online shopping demand continued to increase online shopping new consumer demand increased people's network beijing march xinhuaOriginal Source: urdupoint,"[['top', 'terms', 'complaint', 'volume', 'has', 'risen', 'reporting', 'volume', 'nearly', 'six', 'years', 'first', 'drop', 'original', 'title:', 'market', 'supervision:', 'last', 'year', 'receive', 'consumer', 'complaints', 'reported', 'consulting', 'more', 'than', 'million', 'pieces', 'online', 'shopping', 'new', 'consumer', 'demand', 'increased', 'online', 'shopping', 'demand', 'continued', 'increase', 'online', 'shopping', 'new', 'consumer', 'demand', 'increased', ""people's"", 'network', 'beijing', 'march', 'xinhuaOriginal', 'Source:', 'urdupoint']]",1,0
48,New Delhi: At a time when honey is being touted as an immunity booster against Covid the New Delh based advocacy group Centre for Science and Environment CSE claimed on Wednesday that % of samples from top honey brands in the country were found to have been adulterated with a modified syrup to beat safety tests....Original Source: HindustanTimes,"[['New', 'Delhi:', 'time', 'when', 'honey', 'being', 'touted', 'immunity', 'booster', 'against', 'Covid', 'the', 'New', 'Delh', 'based', 'advocacy', 'group', 'Centre', 'for', 'Science', 'and', 'Environment', 'CSE', 'claimed', 'Wednesday', 'that', 'samples', 'from', 'top', 'honey', 'brands', 'the', 'country', 'were', 'found', 'have', 'been', 'adulterated', 'with', 'modified', 'syrup', 'beat', 'safety', 'tests....Original', 'Source:', 'HindustanTimes']]",1,0
49,Cannabidiol CBD products are being marketed advertised and labeled in a manner that is giving rise to substantial regulatory exposure and civil tort liability. Setting aside the FDA's current prohibition on CBD in food and supplements companies that market and sell these products must pay close.......Original Source: mondaq,"[['Cannabidiol', 'CBD', 'products', 'are', 'being', 'marketed', 'advertised', 'and', 'labeled', 'manner', 'that', 'giving', 'rise', 'substantial', 'regulatory', 'exposure', 'and', 'civil', 'tort', 'liability.'], ['Setting', 'aside', 'the', ""FDA's"", 'current', 'prohibition', 'CBD', 'food', 'and', 'supplements', 'companies', 'that', 'market', 'and', 'sell', 'these', 'products', 'must', 'pay', 'close.......Original', 'Source:', 'mondaq']]",1,0
50,Top terms rotten eggs bakery units city cuttack municipal corporation's corporation's food inspectionOriginal Source: timesofindia,"[['Top', 'terms', 'rotten', 'eggs', 'bakery', 'units', 'city', 'cuttack', 'municipal', ""corporation's"", ""corporation's"", 'food', 'inspectionOriginal', 'Source:', 'timesofindia']]",1,0
