,Tweet,Tweet tok,True label,Pred label
14,Don't trust myself to make chicken and not give myself food poisoning,"[""Don't"", 'trust', 'myself', 'to', 'make', 'chicken', 'and', 'not', 'give', 'myself', 'food', 'poisoning']",0,1
15,Does Jacob have food poisoning again? Scared to wear the crown? He just doesn't look right.  HTTPURL,"['Does', 'Jacob', 'have', 'food', 'poisoning', 'again', '?', 'Scared', 'to', 'wear', 'the', 'crown', '?', 'He', 'just', ""doesn't"", 'look', 'right', '.', 'HTTPURL']",0,1
16,food poisoning will have you PRAYING for death,"['food', 'poisoning', 'will', 'have', 'you', 'PRAYING', 'for', 'death']",0,1
17,"""hey, this penn station sushi really isn't half bad."" -a girl who will have food poisoning in 2 hours","['""', 'hey', ',', 'this', 'penn', 'station', 'sushi', 'really', ""isn't"", 'half', 'bad', '.', '""', '-a', 'girl', 'who', 'will', 'have', 'food', 'poisoning', 'in', '2', 'hours']",0,1
18,"So last night, I broke a tooth, watched a girl throw up on two people, had to leave the part early because my ride had to leave and to top it off I think I got food poisoning... All with in the first hour.  BUT I refuse to let that get me down about the new year!  HTTPURL","['So', 'last', 'night', ',', 'I', 'broke', 'a', 'tooth', ',', 'watched', 'a', 'girl', 'throw', 'up', 'on', 'two', 'people', ',', 'had', 'to', 'leave', 'the', 'part', 'early', 'because', 'my', 'ride', 'had', 'to', 'leave', 'and', 'to', 'top', 'it', 'off', 'I', 'think', 'I', 'got', 'food', 'poisoning', '.', '.', '.', 'All', 'with', 'in', 'the', 'first', 'hour', '.', 'BUT', 'I', 'refuse', 'to', 'let', 'that', 'get', 'me', 'down', 'about', 'the', 'new', 'year', '!', 'HTTPURL']",0,1
19,"@USER Where's the fun in that? I'd rather select the lobster from its little tank and know that I lorded it to its death in the back kitchen while I haphazardly eat crackers as an appetizer because I got a shit palette and the scallions gave me food poisoning last time, too.","['@USER', ""Where's"", 'the', 'fun', 'in', 'that', '?', ""I'd"", 'rather', 'select', 'the', 'lobster', 'from', 'its', 'little', 'tank', 'and', 'know', 'that', 'I', 'lorded', 'it', 'to', 'its', 'death', 'in', 'the', 'back', 'kitchen', 'while', 'I', 'haphazardly', 'eat', 'crackers', 'as', 'an', 'appetizer', 'because', 'I', 'got', 'a', 'shit', 'palette', 'and', 'the', 'scallions', 'gave', 'me', 'food', 'poisoning', 'last', 'time', ',', 'too', '.']",1,0
20,"It is 4:30am in China and I just vomited. You would think it's because of food poisoning or jet lag. But no folks, it's because I'm just *that* anxious about my job [EMOJI_smiling_face_with_sunglasses]","['It', 'is', '4', ':', '30am', 'in', 'China', 'and', 'I', 'just', 'vomited', '.', 'You', 'would', 'think', ""it's"", 'because', 'of', 'food', 'poisoning', 'or', 'jet', 'lag', '.', 'But', 'no', 'folks', ',', ""it's"", 'because', ""I'm"", 'just', '*that*', 'anxious', 'about', 'my', 'job', '😎']",0,1
21,@USER Don't.. got food poisoning from them [EMOJI_upside-down_face],"['@USER', ""Don't"", '.', '.', 'got', 'food', 'poisoning', 'from', 'them', ':upside:-down_face']",0,1
22,@USER I have nothing but sympathy for the people (poor kids got food poisoning at a work thing) but I am p much always nauseated thanks to the anxiety so it's not the awesomest,"['@USER', 'I', 'have', 'nothing', 'but', 'sympathy', 'for', 'the', 'people', '(', 'poor', 'kids', 'got', 'food', 'poisoning', 'at', 'a', 'work', 'thing', ')', 'but', 'I', 'am', 'p', 'much', 'always', 'nauseated', 'thanks', 'to', 'the', 'anxiety', 'so', ""it's"", 'not', 'the', 'awesomest']",0,1
23,Tomorrow may or may not end up being a shitty day dependant on if my boss decides to not be an asshole because I missed work due to food poisoning WITH A DOCTOR'S NOTE.,"['Tomorrow', 'may', 'or', 'may', 'not', 'end', 'up', 'being', 'a', 'shitty', 'day', 'dependant', 'on', 'if', 'my', 'boss', 'decides', 'to', 'not', 'be', 'an', 'asshole', 'because', 'I', 'missed', 'work', 'due', 'to', 'food', 'poisoning', 'WITH', 'A', ""DOCTOR'S"", 'NOTE', '.']",0,1
24,@USER No. Just steady pain all night. I feel a little better after throwing up.,"['@USER', 'No', '.', 'Just', 'steady', 'pain', 'all', 'night', '.', 'I', 'feel', 'a', 'little', 'better', 'after', 'throwing', 'up', '.']",0,1
25,@USER I once bought nachos & cheese at the concession in a movie theater (rather than sneak in my own snack). Was sorry that I did too. Got food poisoning from it. Had diarrhea/throwing up for a week.[EMOJI_face_vomiting] Couldn't even LOOK at nachos & cheese for years afterward without getting sick.,"['@USER', 'I', 'once', 'bought', 'nachos', '&', 'cheese', 'at', 'the', 'concession', 'in', 'a', 'movie', 'theater', '(', 'rather', 'than', 'sneak', 'in', 'my', 'own', 'snack', ')', '.', 'Was', 'sorry', 'that', 'I', 'did', 'too', '.', 'Got', 'food', 'poisoning', 'from', 'it', '.', 'Had', 'diarrhea/throwing', 'up', 'for', 'a', 'week', '.', '🤮', ""Couldn't"", 'even', 'LOOK', 'at', 'nachos', '&', 'cheese', 'for', 'years', 'afterward', 'without', 'getting', 'sick', '.']",0,1
26,"@USER I think he has some kind of virus , food poisoning or something like that. We may find out after the round .","['@USER', 'I', 'think', 'he', 'has', 'some', 'kind', 'of', 'virus', ',', 'food', 'poisoning', 'or', 'something', 'like', 'that', '.', 'We', 'may', 'find', 'out', 'after', 'the', 'round', '.']",0,1
27,Like my 3rd time getting food poisoning this year [EMOJI_man_facepalming_medium-dark_skin_tone],"['Like', 'my', '3rd', 'time', 'getting', 'food', 'poisoning', 'this', 'year', ':man_facepalming_medium:-dark_skin_tone']",1,0
28,How you know if you got food poisoning?,"['How', 'you', 'know', 'if', 'you', 'got', 'food', 'poisoning', '?']",0,1
29,"v i e w s > carsickness on the way to views. [EMOJI_wavy_dash_selector]  Colorado, I like ya more each time I visit. hopefully third time is a charm where I don't break my arm or get food poisoning in this state....  HTTPURL","['v', 'i', 'e', 'w', 's', '>', 'carsickness', 'on', 'the', 'way', 'to', 'views', '.', '〰️', 'Colorado', ',', 'I', 'like', 'ya', 'more', 'each', 'time', 'I', 'visit', '.', 'hopefully', 'third', 'time', 'is', 'a', 'charm', 'where', 'I', ""don't"", 'break', 'my', 'arm', 'or', 'get', 'food', 'poisoning', 'in', 'this', 'state', '.', '.', '.', '.', 'HTTPURL']",0,1
30,"@USER @USER After having food poisoning for 4 years from the FHL, I think they'll appreciate anything at this point","['@USER', '@USER', 'After', 'having', 'food', 'poisoning', 'for', '4', 'years', 'from', 'the', 'FHL', ',', 'I', 'think', ""they'll"", 'appreciate', 'anything', 'at', 'this', 'point']",0,1
31,"getting food poisoning is a sick irony. sandwich, you were supposed to nourish my fragile meat body, not conspire with one section of it and kill the rest! you edible quisling [EMOJI_weary_face]","['getting', 'food', 'poisoning', 'is', 'a', 'sick', 'irony', '.', 'sandwich', ',', 'you', 'were', 'supposed', 'to', 'nourish', 'my', 'fragile', 'meat', 'body', ',', 'not', 'conspire', 'with', 'one', 'section', 'of', 'it', 'and', 'kill', 'the', 'rest', '!', 'you', 'edible', 'quisling', '😩']",1,0
32,"Day 81927391928 without my mum, I'm attempting to cook butter chicken for my dad pray I don't give him food poisoning","['Day', '81927391928', 'without', 'my', 'mum', ',', ""I'm"", 'attempting', 'to', 'cook', 'butter', 'chicken', 'for', 'my', 'dad', 'pray', 'I', ""don't"", 'give', 'him', 'food', 'poisoning']",0,1
33,"wow, just what i needed! stress AND food/gluten poisoning! if you need me for the next few days- fuckin don't.","['wow', ',', 'just', 'what', 'i', 'needed', '!', 'stress', 'AND', 'food/gluten', 'poisoning', '!', 'if', 'you', 'need', 'me', 'for', 'the', 'next', 'few', 'days-', 'fuckin', ""don't"", '.']",0,1
34,@USER @USER Yeah. Is that getting our hopes up too high? How about a fatal case of food poisoning from a wrotten burger Trump gets from McDonalds. ...? [EMOJI_dizzy_face],"['@USER', '@USER', 'Yeah', '.', 'Is', 'that', 'getting', 'our', 'hopes', 'up', 'too', 'high', '?', 'How', 'about', 'a', 'fatal', 'case', 'of', 'food', 'poisoning', 'from', 'a', 'wrotten', 'burger', 'Trump', 'gets', 'from', 'McDonalds', '.', '.', '.', '.', '?', '😵']",0,1
35,lrt flashbacks to the time i had food poisoning so severe i fell out in an ihop bathroom lol,"['lrt', 'flashbacks', 'to', 'the', 'time', 'i', 'had', 'food', 'poisoning', 'so', 'severe', 'i', 'fell', 'out', 'in', 'an', 'ihop', 'bathroom', 'lol']",0,1
36,Seahawks Frank Clark hospitalized twice for food poisoning ahead of Ra... HTTPURL HTTPURL,"['Seahawks', 'Frank', 'Clark', 'hospitalized', 'twice', 'for', 'food', 'poisoning', 'ahead', 'of', 'Ra', '.', '.', '.', 'HTTPURL', 'HTTPURL']",0,1
37,"If ever I die due to food poisoning pls do blame the mustard I used for my sandwich cos I can't eat one if the trio of mayo, ketchup and mustard isn't complete k thx","['If', 'ever', 'I', 'die', 'due', 'to', 'food', 'poisoning', 'pls', 'do', 'blame', 'the', 'mustard', 'I', 'used', 'for', 'my', 'sandwich', 'cos', 'I', ""can't"", 'eat', 'one', 'if', 'the', 'trio', 'of', 'mayo', ',', 'ketchup', 'and', 'mustard', ""isn't"", 'complete', 'k', 'thx']",0,1
38,That sandwich I made that I just ate is going to give me food poisoning I think :/,"['That', 'sandwich', 'I', 'made', 'that', 'I', 'just', 'ate', 'is', 'going', 'to', 'give', 'me', 'food', 'poisoning', 'I', 'think', ':', '/']",0,1
39,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Seriously.  I had H1N1 flu when it was making the rounds several years back. That flu was horrid. Food poisoning was worse.,"['@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', 'Seriously', '.', 'I', 'had', 'H1N1', 'flu', 'when', 'it', 'was', 'making', 'the', 'rounds', 'several', 'years', 'back', '.', 'That', 'flu', 'was', 'horrid', '.', 'Food', 'poisoning', 'was', 'worse', '.']",0,1
40,"@USER Mail me some, fam. The food poisoning will be worth it.","['@USER', 'Mail', 'me', 'some', ',', 'fam', '.', 'The', 'food', 'poisoning', 'will', 'be', 'worth', 'it', '.']",0,1
41,Nothings working maybe it's something other than food poisoning I'm gonna go to ER,"['Nothings', 'working', 'maybe', ""it's"", 'something', 'other', 'than', 'food', 'poisoning', ""I'm"", 'gonna', 'go', 'to', 'ER']",0,1
42,@USER People wanna get food poisoning so bad [EMOJI_loudly_crying_face][EMOJI_skull],"['@USER', 'People', 'wanna', 'get', 'food', 'poisoning', 'so', 'bad', '😭', '💀']",1,0
43,Only I would get food poisoning after purchasing tickets for a show tonight[EMOJI_slightly_smiling_face],"['Only', 'I', 'would', 'get', 'food', 'poisoning', 'after', 'purchasing', 'tickets', 'for', 'a', 'show', 'tonight', '🙂']",0,1
44,I would really like to know why I've been nauseous for days on end but not quite food poisoning but also waking up at 3am to puke hm what's wrong with my body!,"['I', 'would', 'really', 'like', 'to', 'know', 'why', ""I've"", 'been', 'nauseous', 'for', 'days', 'on', 'end', 'but', 'not', 'quite', 'food', 'poisoning', 'but', 'also', 'waking', 'up', 'at', '3am', 'to', 'puke', 'hm', ""what's"", 'wrong', 'with', 'my', 'body', '!']",0,1
45,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER All members of Metallica have severe food poisoning. The event organizers have asked Suicidal Tendencies to fill their spot on the last Big 4 show. The bands, Megadeth, Anthrax, Slayer and Suicidal Tendencies, to play Uncle Slam's ""Executioner"" as their joint encore.","['@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', 'All', 'members', 'of', 'Metallica', 'have', 'severe', 'food', 'poisoning', '.', 'The', 'event', 'organizers', 'have', 'asked', 'Suicidal', 'Tendencies', 'to', 'fill', 'their', 'spot', 'on', 'the', 'last', 'Big', '4', 'show', '.', 'The', 'bands', ',', 'Megadeth', ',', 'Anthrax', ',', 'Slayer', 'and', 'Suicidal', 'Tendencies', ',', 'to', 'play', 'Uncle', ""Slam's"", '""', 'Executioner', '""', 'as', 'their', 'joint', 'encore', '.']",0,1
46,"@USER I hope you have an awful Christmas - really bad food poisoning and your fingers get caught in the car door, and a cat shits in your eyes","['@USER', 'I', 'hope', 'you', 'have', 'an', 'awful', 'Christmas', '-', 'really', 'bad', 'food', 'poisoning', 'and', 'your', 'fingers', 'get', 'caught', 'in', 'the', 'car', 'door', ',', 'and', 'a', 'cat', 'shits', 'in', 'your', 'eyes']",0,1
47,"Y'know, ever since reading scum villain and hearing about someone IRL recently dying in their sleep from food poisoning has made me so much more aware about expiration dates on all my food now.[EMOJI_face_without_mouth]","[""Y'know"", ',', 'ever', 'since', 'reading', 'scum', 'villain', 'and', 'hearing', 'about', 'someone', 'IRL', 'recently', 'dying', 'in', 'their', 'sleep', 'from', 'food', 'poisoning', 'has', 'made', 'me', 'so', 'much', 'more', 'aware', 'about', 'expiration', 'dates', 'on', 'all', 'my', 'food', 'now', '.', '😶']",0,1
48,Try having food poisoning and instead of a hospital they put you in a isolated cell I was paralyzed asking god to not let me die in that mf and somehow I survived,"['Try', 'having', 'food', 'poisoning', 'and', 'instead', 'of', 'a', 'hospital', 'they', 'put', 'you', 'in', 'a', 'isolated', 'cell', 'I', 'was', 'paralyzed', 'asking', 'god', 'to', 'not', 'let', 'me', 'die', 'in', 'that', 'mf', 'and', 'somehow', 'I', 'survived']",0,1
49,@USER Interesting. I was asking actually because my coworker got food poisoning recently from the one on 14th and 1st lol back in my freshman year of college I saw a Vietnam vet blowing lines of coke in the one near union square. Taco Bell in NYC gets buck wild,"['@USER', 'Interesting', '.', 'I', 'was', 'asking', 'actually', 'because', 'my', 'coworker', 'got', 'food', 'poisoning', 'recently', 'from', 'the', 'one', 'on', '14th', 'and', '1st', 'lol', 'back', 'in', 'my', 'freshman', 'year', 'of', 'college', 'I', 'saw', 'a', 'Vietnam', 'vet', 'blowing', 'lines', 'of', 'coke', 'in', 'the', 'one', 'near', 'union', 'square', '.', 'Taco', 'Bell', 'in', 'NYC', 'gets', 'buck', 'wild']",0,1
50,Imma be pissed if I lose my ass from this food poisoning ! [EMOJI_face_with_symbols_on_mouth],"['Imma', 'be', 'pissed', 'if', 'I', 'lose', 'my', 'ass', 'from', 'this', 'food', 'poisoning', '!', '🤬']",0,1
51,"@USER will you be coming back to Beverly, MA to make up for the show at the Cabot that was cut short due to food poisoning? Would love to see the full set.","['@USER', 'will', 'you', 'be', 'coming', 'back', 'to', 'Beverly', ',', 'MA', 'to', 'make', 'up', 'for', 'the', 'show', 'at', 'the', 'Cabot', 'that', 'was', 'cut', 'short', 'due', 'to', 'food', 'poisoning', '?', 'Would', 'love', 'to', 'see', 'the', 'full', 'set', '.']",0,1
52,"I've only ever called into my job twice in 5 years. Once because I was in the hospital, and the second because I had food poisoning so badly I couldn't even stand. I went to work 10 hours after being released from the hospital with anaphylaxis and worked on benedryl all day","[""I've"", 'only', 'ever', 'called', 'into', 'my', 'job', 'twice', 'in', '5', 'years', '.', 'Once', 'because', 'I', 'was', 'in', 'the', 'hospital', ',', 'and', 'the', 'second', 'because', 'I', 'had', 'food', 'poisoning', 'so', 'badly', 'I', ""couldn't"", 'even', 'stand', '.', 'I', 'went', 'to', 'work', '10', 'hours', 'after', 'being', 'released', 'from', 'the', 'hospital', 'with', 'anaphylaxis', 'and', 'worked', 'on', 'benedryl', 'all', 'day']",0,1
53,How to lose weight in 2020:  Get food poisoning from bad shellfish and let your bowels do the work for you.  #sosimdyingplzsendhelpandfluids,"['How', 'to', 'lose', 'weight', 'in', '2020', ':', 'Get', 'food', 'poisoning', 'from', 'bad', 'shellfish', 'and', 'let', 'your', 'bowels', 'do', 'the', 'work', 'for', 'you', '.', '#sosimdyingplzsendhelpandfluids']",1,0
54,@USER Me I feel amazing after having food poisoning for a few days,"['@USER', 'Me', 'I', 'feel', 'amazing', 'after', 'having', 'food', 'poisoning', 'for', 'a', 'few', 'days']",0,1
55,"@USER @USER @USER @USER Port like the AFL only care about getting paid, they'll go still. It really comes down to St Kilda here, last time they got food poisoning there so don't think a virus will help them to wanna go now. Port and there botched schemes per usual.","['@USER', '@USER', '@USER', '@USER', 'Port', 'like', 'the', 'AFL', 'only', 'care', 'about', 'getting', 'paid', ',', ""they'll"", 'go', 'still', '.', 'It', 'really', 'comes', 'down', 'to', 'St', 'Kilda', 'here', ',', 'last', 'time', 'they', 'got', 'food', 'poisoning', 'there', 'so', ""don't"", 'think', 'a', 'virus', 'will', 'help', 'them', 'to', 'wanna', 'go', 'now', '.', 'Port', 'and', 'there', 'botched', 'schemes', 'per', 'usual', '.']",1,0
56,"The worst part about being self employed is when you're prettyyyyy sure you have food poisoning, but you have to push through because you have a deadline for a client.  HTTPURL","['The', 'worst', 'part', 'about', 'being', 'self', 'employed', 'is', 'when', ""you're"", 'prettyyyyy', 'sure', 'you', 'have', 'food', 'poisoning', ',', 'but', 'you', 'have', 'to', 'push', 'through', 'because', 'you', 'have', 'a', 'deadline', 'for', 'a', 'client', '.', 'HTTPURL']",0,1
57,"I get sick every time I go out the country. Been to Brazil 3 times, sick three times. Been to Guam 3 times, sick three times. My immune system is trash so the last thing I need is Coronavirus.   The worst thing I ever had was food poisoning though.  Went to the hospital for that.","['I', 'get', 'sick', 'every', 'time', 'I', 'go', 'out', 'the', 'country', '.', 'Been', 'to', 'Brazil', '3', 'times', ',', 'sick', 'three', 'times', '.', 'Been', 'to', 'Guam', '3', 'times', ',', 'sick', 'three', 'times', '.', 'My', 'immune', 'system', 'is', 'trash', 'so', 'the', 'last', 'thing', 'I', 'need', 'is', 'Coronavirus', '.', 'The', 'worst', 'thing', 'I', 'ever', 'had', 'was', 'food', 'poisoning', 'though', '.', 'Went', 'to', 'the', 'hospital', 'for', 'that', '.']",0,1
58,"Did the late Stuart Scott know MJ's ""flu game"" was actually food poisoning from the get? We listened back to his highlight from that night.  For Today's Full Replay:  HTTPURL  HTTPURL","['Did', 'the', 'late', 'Stuart', 'Scott', 'know', ""MJ's"", '""', 'flu', 'game', '""', 'was', 'actually', 'food', 'poisoning', 'from', 'the', 'get', '?', 'We', 'listened', 'back', 'to', 'his', 'highlight', 'from', 'that', 'night', '.', 'For', ""Today's"", 'Full', 'Replay', ':', 'HTTPURL', 'HTTPURL']",0,1
59,I started eating very strict and proper on July 1st...it's now July 3rd and I think I've got some sort of food poisoning or something. Guess my body needs cookies to function...,"['I', 'started', 'eating', 'very', 'strict', 'and', 'proper', 'on', 'July', '1st', '.', '.', '.', ""it's"", 'now', 'July', '3rd', 'and', 'I', 'think', ""I've"", 'got', 'some', 'sort', 'of', 'food', 'poisoning', 'or', 'something', '.', 'Guess', 'my', 'body', 'needs', 'cookies', 'to', 'function', '.', '.', '.']",0,1
60,"4. In 2018, when I spent a night in the hospital (had food poisoning this time), guess who came to my side? It was Pastor Olofintuyi, a missionary who was visiting home from Dubai. Pastor Ajala also visited, and many other people of God.","['4', '.', 'In', '2018', ',', 'when', 'I', 'spent', 'a', 'night', 'in', 'the', 'hospital', '(', 'had', 'food', 'poisoning', 'this', 'time', ')', ',', 'guess', 'who', 'came', 'to', 'my', 'side', '?', 'It', 'was', 'Pastor', 'Olofintuyi', ',', 'a', 'missionary', 'who', 'was', 'visiting', 'home', 'from', 'Dubai', '.', 'Pastor', 'Ajala', 'also', 'visited', ',', 'and', 'many', 'other', 'people', 'of', 'God', '.']",0,1
61,@USER Lmao nah one time I told them I ordered door dash and got food poisoning or a squirrel ate the fiber cables in the attic and I had to wait on frontier to rewire everything,"['@USER', 'Lmao', 'nah', 'one', 'time', 'I', 'told', 'them', 'I', 'ordered', 'door', 'dash', 'and', 'got', 'food', 'poisoning', 'or', 'a', 'squirrel', 'ate', 'the', 'fiber', 'cables', 'in', 'the', 'attic', 'and', 'I', 'had', 'to', 'wait', 'on', 'frontier', 'to', 'rewire', 'everything']",0,1
62,@USER A little disappointed that you cropped out the riveting news about Panda Express.  #foodpoisoning,"['@USER', 'A', 'little', 'disappointed', 'that', 'you', 'cropped', 'out', 'the', 'riveting', 'news', 'about', 'Panda', 'Express', '.', '#foodpoisoning']",0,1
63,I was SO ILL for a week with what I thought was food poisoning when I visited Marrakech 5 years ago and I've had psoriasis and joint pain ever since. Convinced I got parasites as they're really common when traveling abroad.,"['I', 'was', 'SO', 'ILL', 'for', 'a', 'week', 'with', 'what', 'I', 'thought', 'was', 'food', 'poisoning', 'when', 'I', 'visited', 'Marrakech', '5', 'years', 'ago', 'and', ""I've"", 'had', 'psoriasis', 'and', 'joint', 'pain', 'ever', 'since', '.', 'Convinced', 'I', 'got', 'parasites', 'as', ""they're"", 'really', 'common', 'when', 'traveling', 'abroad', '.']",0,1
64,my stomach has been going OFF today.. this is what happens when you eat a big ass bowl of macaroni after being cheese and dairy free for months.,"['my', 'stomach', 'has', 'been', 'going', 'OFF', 'today', '.', '.', 'this', 'is', 'what', 'happens', 'when', 'you', 'eat', 'a', 'big', 'ass', 'bowl', 'of', 'macaroni', 'after', 'being', 'cheese', 'and', 'dairy', 'free', 'for', 'months', '.']",0,1
65,"Me modeling be like: -Get food poisoning -Vomit -Faint  -Get sent home  -Sleep for 4 hours -Come back the next day -Finish shooting the collection  Can't believe I managed to pull through... [EMOJI_woman_facepalming_light_skin_tone] Tomorrow will be another shoot so I won't be streaming, but I'll see yall Friday! [EMOJI_sparkling_heart] HTTPURL","['Me', 'modeling', 'be', 'like', ':', '-Get', 'food', 'poisoning', '-Vomit', '-Faint', '-Get', 'sent', 'home', '-Sleep', 'for', '4', 'hours', '-Come', 'back', 'the', 'next', 'day', '-Finish', 'shooting', 'the', 'collection', ""Can't"", 'believe', 'I', 'managed', 'to', 'pull', 'through', '.', '.', '.', '🤦🏻\u200d♀️', 'Tomorrow', 'will', 'be', 'another', 'shoot', 'so', 'I', ""won't"", 'be', 'streaming', ',', 'but', ""I'll"", 'see', 'yall', 'Friday', '!', '💖', 'HTTPURL']",0,1
66,I ate the rest of my leftover pasta this morning around 2 and my stomach HATES ME right now. [EMOJI_frowning_face_selector][EMOJI_frowning_face_selector],"['I', 'ate', 'the', 'rest', 'of', 'my', 'leftover', 'pasta', 'this', 'morning', 'around', '2', 'and', 'my', 'stomach', 'HATES', 'ME', 'right', 'now', '.', '☹️', '☹️']",0,1
